0,0.379,0.208,2.926,-0.623,1.16,0.27,0.309,1.877,-0.038,2.376,-0.312,-1.811
0.01,-2.578,1.36,1.523,0.192,-1.943,1.429,3.128,1.372,1.539,0.018,0.689,-1.305
0.02,0.839,1.862,2.198,-0.82,-1.347,0.785,1.124,2.687,0.594,0.37,-0.465,0.039
0.03,-5.249,-0.961,1.248,-0.881,-1.231,1.252,0.893,0.718,0.024,0.654,0.489,0.989
0.04,-3.377,1.078,2.092,-0.504,-0.504,1.268,-0.821,-0.989,0.577,-4.508,-0.312,0.514
0.05,-0.911,2.169,2.675,-1.417,-0.876,0.368,-0.005,-1.746,0.862,-0.203,-0.196,3.132
0.06,-1.315,2.109,2.275,-1.178,0.253,1.845,1.299,-1.146,-0.792,-0.213,-1.383,1.613
0.07,-1.399,2.358,3.193,-0.802,-3.641,1.155,-1.032,3.158,-0.149,-0.34,-0.84,0.994
0.08,3.182,0.78,1.968,-0.82,0.608,3.262,0.871,-1.224,0.516,0.928,1.926,-0.909
0.09,-0.054,3.023,2.165,-1.873,-0.796,0.802,0.404,2.322,-0.463,-1.267,1.416,2.906
0.1,0.546,2.075,2.404,-1.042,-1.037,-0.147,1.63,3.192,-0.982,-1.441,0.238,1.898
0.11,1.768,1.248,1.243,-0.98,-2.041,0.093,-0.586,-3.019,0.465,-1.649,-0.472,-1.966
0.12,-1.986,2.289,1.6,-0.104,0.431,0.43,2.815,-0.859,-1.721,0.552,-1.458,-2.116
0.13,0.609,3.51,0.95,-0.642,-1.526,2.73,1.106,3.018,-0.463,0.425,0.254,-1.74
0.14,1.481,1.47,-0.065,-0.802,-0.796,-1.676,2.875,1.642,0.248,-0.022,-0.521,0.976
0.15,-2.614,0.643,2,0.074,-2.948,2.377,0.483,0.309,0.656,-1.184,-1.014,-3.005
0.16,0.42,2.639,2.46,-0.881,2.503,-2.994,2.567,-0.406,0.465,-0.901,-0.23,0.768
0.17,-0.515,3.073,2.553,-1.159,-1.863,-0.969,1.745,-2.096,-1.392,-1.551,0.63,1.126
0.18,-4.062,2.955,3.619,-0.283,-1.169,-1.163,2.119,0.892,1.064,-2.142,0.715,3.207
0.19,-1.359,2.572,2.558,-0.82,-0.281,0.961,-0.373,-0.196,-0.022,-1.781,-0.103,-1.601
0.2,-0.822,-0.303,2.246,-1.894,1.32,-1.163,-0.452,-0.624,-0.273,1.361,-0.145,-0.972
0.21,-2.298,-1.268,2.129,-1.873,-0.619,-1.322,1.649,-0.274,0.594,-1.157,-0.145,2.017
